latitude,longitude,marches
49.9,2.4,404
50.0,1.2,404
47.6,2.7,403
48.7,-1.9,402
49.6,0.8,400
44.1,4.8,399
43.2,6.3,398
47.0,-1.0,398
48.2,6.5,398
48.5,-4.3,397
46.0,6.1,396
48.1,-3.0,396
48.3,1.8,395
44.6,6.5,395
47.4,-1.2,393
46.9,6.3,392
46.3,-0.4,392
49.0,4.3,391
45.7,0.3,391
48.2,-1.7,390
45.8,5.7,387
45.6,5.3,386
49.1,3.6,384
44.0,2.9,383
47.5,4.3,382
44.8,5.4,382
47.6,7.6,380
43.9,5.1,379
48.7,-4.0,379
47.9,0.2,375
46.5,-1.2,375
50.5,2.5,375
45.4,6.0,375
46.9,4.8,374
48.2,5.9,368
48.8,1.6,366
44.5,1.3,366
49.8,0.6,366
47.9,-0.5,365
43.8,5.8,365
47.9,-2.4,365
49.4,2.4,364
49.2,5.9,364
43.8,7.2,363
47.6,-2.6,363
44.7,5.0,362
44.0,5.1,361
47.3,6.8,359
46.0,6.0,359
48.4,-1.2,358
43.2,0.0,356
43.7,-1.3,354
47.7,-0.1,354
48.3,7.4,353
46.1,-0.8,353
48.2,7.2,352
44.7,6.3,352
44.4,0.7,351
43.6,2.3,351
48.0,-1.5,350
43.8,5.0,350
43.1,-0.0,349
48.5,2.6,349
42.3,9.1,349
45.7,6.3,347
46.6,1.1,347
43.8,2.1,346
50.5,3.2,346
47.7,7.4,346
45.8,3.4,343
48.2,7.3,343
42.5,2.7,343
48.5,-4.4,342
50.5,3.1,342
48.5,-4.1,340
45.4,-1.1,339
48.2,-4.1,338
43.1,0.7,338
48.7,6.3,337
47.6,7.2,336
49.2,2.5,336
48.5,-4.2,336
49.2,6.0,336
46.7,4.4,336
44.5,-0.8,335
49.4,0.2,335
48.7,7.4,335
49.1,-0.5,335
47.9,0.4,334
50.3,3.9,334
50.2,3.2,333
49.1,-0.3,333
47.5,7.0,333
49.3,-0.3,333
48.9,7.8,332
44.9,-0.4,332
46.9,6.4,331
48.1,1.4,329
45.6,4.2,329
48.0,7.5,329
45.6,4.8,328
48.3,2.7,328
45.8,3.2,327
43.8,4.1,327
43.7,3.9,326
47.9,0.7,326
50.5,1.8,324
47.8,0.3,324
46.9,-2.0,324
45.2,4.3,324
45.5,4.5,322
47.1,3.9,321
45.1,4.8,321
42.3,9.2,321
48.7,-0.0,321
45.1,5.3,320
43.6,1.1,320
43.5,5.6,319
47.9,-0.0,319
43.4,6.6,319
46.2,4.2,318
46.0,5.4,315
49.8,2.0,315
48.2,2.3,314
45.1,3.5,314
49.1,2.2,313
42.5,2.1,312
47.3,-1.4,311
47.3,-1.8,311
48.3,-3.6,310
43.0,3.0,310
43.5,2.0,310
50.1,1.4,308
50.3,3.3,308
43.2,6.1,308
46.7,-1.6,308
45.3,4.7,307
47.5,-3.1,307
48.2,7.5,306
45.5,4.2,305
48.4,2.9,305
43.9,5.4,305
45.7,4.2,304
49.0,3.4,303
45.5,1.2,303
48.2,-2.0,302
48.7,0.9,301
43.4,3.4,300
45.5,4.6,298
43.2,5.7,297
46.7,2.5,297
48.5,-4.6,296
49.0,7.9,295
42.9,1.8,294
45.6,4.9,294
44.5,2.8,294
43.7,1.3,293
44.4,4.7,293
46.9,-1.2,293
47.0,-1.6,290
47.4,2.9,290
47.9,-1.7,289
45.0,-0.8,289
48.0,0.3,288
43.4,3.8,288
46.3,6.4,288
45.6,4.7,287
47.8,2.4,287
49.0,2.0,285
48.3,-1.2,284
44.5,1.0,284
47.4,-1.5,284
48.5,0.5,284
47.6,6.1,284
43.0,-0.1,284
47.9,-1.4,284
43.3,0.1,284
43.1,0.6,284
49.4,2.6,283
45.6,5.1,283
49.2,6.7,283
45.5,2.9,281
45.6,5.0,281
48.4,-1.3,281
44.4,2.0,281
43.6,3.4,281
50.4,3.4,280
48.1,-3.6,280
45.9,3.3,279
50.3,3.2,279
50.1,4.8,279
48.1,-2.0,279
48.7,7.7,277
47.4,-0.5,277
46.3,4.9,277
47.6,-1.6,276
50.4,2.0,276
48.3,-1.8,276
45.1,5.8,275
48.8,0.6,275
